"filename", "language", "Docker", "YAML", "Ignore", "pip requirements", "Markdown", "Properties", "Shell Script", "JavaScript", "PostCSS", "HTML", "C", "CMake", "Python", "C++", "Ini", "Assembly", "PowerShell", "JSON", "comment", "blank", "total"
"d:\dptui\mm (1)\SDF\.dockerignore", "Ignore", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\dptui\mm (1)\SDF\DOCKERHUB_README.md", "Markdown", 0, 0, 0, 0, 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 219
"d:\dptui\mm (1)\SDF\Dockerfile", "Docker", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17, 96
"d:\dptui\mm (1)\SDF\PUBLISHING.md", "Markdown", 0, 0, 0, 0, 462, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 176, 638
"d:\dptui\mm (1)\SDF\README.md", "Markdown", 0, 0, 0, 0, 237, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 311
"d:\dptui\mm (1)\SDF\THIRD_PARTY_NOTICES.md", "Markdown", 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 148
"d:\dptui\mm (1)\SDF\WEB-MANAGEMENT.md", "Markdown", 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 104
"d:\dptui\mm (1)\SDF\api-matrix.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 55
"d:\dptui\mm (1)\SDF\dist\sdfapi-windows-x64\README.md", "Markdown", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 84
"d:\dptui\mm (1)\SDF\dist\sdfapi-windows-x64\config\sdfapi.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"d:\dptui\mm (1)\SDF\dist\sdfapi-windows-x64\include\sdf.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 807, 0, 0, 0, 0, 122, 118, 1047
"d:\dptui\mm (1)\SDF\dist\sdfapi-windows-x64\include\sdf_err.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 2, 5, 43
"d:\dptui\mm (1)\SDF\dist\sdfapi-windows-x64\include\sdf_types.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 220, 0, 0, 0, 0, 55, 41, 316
"d:\dptui\mm (1)\SDF\dist\sdfapi-windows-x64\licenses\THIRD_PARTY_NOTICES.md", "Markdown", 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 148
"d:\dptui\mm (1)\SDF\docker-compose.yml", "YAML", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"d:\dptui\mm (1)\SDF\openhitls\.gitcode\ISSUE_TEMPLATE\001-bug-report.yml", "YAML", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 51
"d:\dptui\mm (1)\SDF\openhitls\.gitcode\ISSUE_TEMPLATE\002-documentation.yml", "YAML", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"d:\dptui\mm (1)\SDF\openhitls\.gitcode\ISSUE_TEMPLATE\003-feature-request.yml", "YAML", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"d:\dptui\mm (1)\SDF\openhitls\.gitcode\ISSUE_TEMPLATE\004-blank.yml", "YAML", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\dptui\mm (1)\SDF\openhitls\.gitcode\ISSUE_TEMPLATE\config.yml", "YAML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"d:\dptui\mm (1)\SDF\openhitls\.gitcode\PULL_REQUEST_TEMPLATE.en.md", "Markdown", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 33
"d:\dptui\mm (1)\SDF\openhitls\.gitcode\PULL_REQUEST_TEMPLATE.zh-CN.md", "Markdown", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 33
"d:\dptui\mm (1)\SDF\openhitls\.github\workflows\cmake-single-platform.yml", "YAML", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 23, 149
"d:\dptui\mm (1)\SDF\openhitls\.github\workflows\minitest-reusable-job.yml", "YAML", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 46
"d:\dptui\mm (1)\SDF\openhitls\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 23, 93
"d:\dptui\mm (1)\SDF\openhitls\CONTRIBUTING-zh.md", "Markdown", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 82
"d:\dptui\mm (1)\SDF\openhitls\README-zh.md", "Markdown", 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 132
"d:\dptui\mm (1)\SDF\openhitls\README.md", "Markdown", 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 130
"d:\dptui\mm (1)\SDF\openhitls\SECURITY.md", "Markdown", 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 151
"d:\dptui\mm (1)\SDF\openhitls\SECURITY_zh.md", "Markdown", 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 112
"d:\dptui\mm (1)\SDF\openhitls\apps\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 10, 63
"d:\dptui\mm (1)\SDF\openhitls\apps\include\app_asn1parse.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 25, 7, 47
"d:\dptui\mm (1)\SDF\openhitls\apps\include\app_client.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 27, 11, 75
"d:\dptui\mm (1)\SDF\openhitls\apps\include\app_conf.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 91, 16, 165
"d:\dptui\mm (1)\SDF\openhitls\apps\include\app_crl.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 14, 3, 28
"d:\dptui\mm (1)\SDF\openhitls\apps\include\app_dgst.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 14, 4, 31
"d:\dptui\mm (1)\SDF\openhitls\apps\include\app_enc.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 14, 4, 46
"d:\dptui\mm (1)\SDF\openhitls\apps\include\app_errdecode.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 6, 15, 80
"d:\dptui\mm (1)\SDF\openhitls\apps\include\app_errno.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 17, 11, 91
"d:\dptui\mm (1)\SDF\openhitls\apps\include\app_function.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 14, 5, 39
