Date : 2026-08-04 12:46:31
Directory : d:\dptui\mm (1)\SDF
Total : 1705 files,  510249 codes, 114883 comments, 72432 blanks, all 697564 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| C                |        932 |    397,047 |     73,991 |     50,858 |    521,896 |
| Assembly         |         81 |     58,135 |          0 |      7,241 |     65,376 |
| C++              |        447 |     29,857 |     40,440 |      9,665 |     79,962 |
| CMake            |        150 |     10,702 |          0 |      1,552 |     12,254 |
| Markdown         |         50 |      8,627 |         22 |      2,377 |     11,026 |
| Python           |          8 |      1,997 |        173 |        338 |      2,508 |
| Shell Script     |          8 |      1,706 |        200 |        196 |      2,102 |
| JavaScript       |          4 |        752 |          1 |         61 |        814 |
| JSON             |          3 |        440 |          0 |         17 |        457 |
| HTML             |          1 |        270 |          0 |         27 |        297 |
| YAML             |          8 |        235 |         49 |         39 |        323 |
| PowerShell       |          3 |        165 |          0 |         18 |        183 |
| PostCSS          |          1 |        128 |          0 |          5 |        133 |
| Properties       |          5 |         95 |          4 |         17 |        116 |
| Docker           |          1 |         76 |          3 |         17 |         96 |
| Ignore           |          1 |          8 |          0 |          1 |          9 |
| Ini              |          1 |          7 |          0 |          2 |          9 |
| pip requirements |          1 |          2 |          0 |          1 |          3 |
+------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                        |      1,705 |    510,249 |    114,883 |     72,432 |    697,564 |
| . (Files)                                                                                                                                |          9 |      1,174 |          3 |        423 |      1,600 |
| dist                                                                                                                                     |          6 |      1,237 |        179 |        231 |      1,647 |
| dist\sdfapi-windows-x64                                                                                                                  |          6 |      1,237 |        179 |        231 |      1,647 |
| dist\sdfapi-windows-x64 (Files)                                                                                                          |          1 |         59 |          0 |         25 |         84 |
| dist\sdfapi-windows-x64\config                                                                                                           |          1 |          7 |          0 |          2 |          9 |
| dist\sdfapi-windows-x64\include                                                                                                          |          3 |      1,063 |        179 |        164 |      1,406 |
| dist\sdfapi-windows-x64\licenses                                                                                                         |          1 |        108 |          0 |         40 |        148 |
| openhitls                                                                                                                                |      1,580 |    486,862 |    113,021 |     68,802 |    668,685 |
| openhitls (Files)                                                                                                                        |          6 |        521 |          0 |        179 |        700 |
| openhitls\.gitcode                                                                                                                       |          7 |        121 |         23 |         30 |        174 |
| openhitls\.gitcode (Files)                                                                                                               |          2 |         22 |         22 |         22 |         66 |
| openhitls\.gitcode\ISSUE_TEMPLATE                                                                                                        |          5 |         99 |          1 |          8 |        108 |
| openhitls\.github                                                                                                                        |          2 |        119 |         48 |         28 |        195 |
| openhitls\.github\workflows                                                                                                              |          2 |        119 |         48 |         28 |        195 |
| openhitls\apps                                                                                                                           |         65 |     19,104 |      2,033 |      2,023 |     23,160 |
| openhitls\apps (Files)                                                                                                                   |          1 |         53 |          0 |         10 |         63 |
| openhitls\apps\include                                                                                                                   |         32 |        908 |      1,130 |        281 |      2,319 |
| openhitls\apps\src                                                                                                                       |         32 |     18,143 |        903 |      1,732 |     20,778 |
| openhitls\auth                                                                                                                           |         16 |      4,362 |        393 |        511 |      5,266 |
| openhitls\auth (Files)                                                                                                                   |          1 |         56 |          0 |         10 |         66 |
| openhitls\auth\otp                                                                                                                       |          5 |        665 |         68 |         80 |        813 |
| openhitls\auth\otp (Files)                                                                                                               |          1 |         25 |          0 |          7 |         32 |
| openhitls\auth\otp\include                                                                                                               |          1 |         41 |         19 |         10 |         70 |
| openhitls\auth\otp\src                                                                                                                   |          3 |        599 |         49 |         63 |        711 |
| openhitls\auth\pake                                                                                                                      |          5 |      1,741 |        202 |        253 |      2,196 |
| openhitls\auth\pake (Files)                                                                                                              |          2 |        395 |         14 |         51 |        460 |
| openhitls\auth\pake\spake2plus                                                                                                           |          3 |      1,346 |        188 |        202 |      1,736 |
| openhitls\auth\pake\spake2plus\include                                                                                                   |          2 |         70 |        171 |         28 |        269 |
| openhitls\auth\pake\spake2plus\src                                                                                                       |          1 |      1,276 |         17 |        174 |      1,467 |
| openhitls\auth\privpass_token                                                                                                            |          5 |      1,900 |        123 |        168 |      2,191 |
| openhitls\auth\privpass_token (Files)                                                                                                    |          1 |         25 |          0 |          7 |         32 |
| openhitls\auth\privpass_token\include                                                                                                    |          1 |         90 |         23 |         20 |        133 |
| openhitls\auth\privpass_token\src                                                                                                        |          3 |      1,785 |        100 |        141 |      2,026 |
| openhitls\bsl                                                                                                                            |        105 |     14,642 |      3,452 |      2,416 |     20,510 |
| openhitls\bsl (Files)                                                                                                                    |          1 |        110 |          0 |         26 |        136 |
| openhitls\bsl\asn1                                                                                                                       |          4 |      1,477 |        204 |        160 |      1,841 |
| openhitls\bsl\asn1 (Files)                                                                                                               |          1 |         25 |          0 |          7 |         32 |
| openhitls\bsl\asn1\include                                                                                                               |          1 |         29 |         81 |         17 |        127 |
| openhitls\bsl\asn1\src                                                                                                                   |          2 |      1,423 |        123 |        136 |      1,682 |
| openhitls\bsl\base64                                                                                                                     |          3 |        512 |         87 |         80 |        679 |
| openhitls\bsl\base64 (Files)                                                                                                             |          1 |         23 |          0 |          7 |         30 |
| openhitls\bsl\base64\include                                                                                                             |          1 |         26 |         29 |          8 |         63 |
| openhitls\bsl\base64\src                                                                                                                 |          1 |        463 |         58 |         65 |        586 |
| openhitls\bsl\buffer                                                                                                                     |          3 |        110 |         28 |         23 |        161 |
| openhitls\bsl\buffer (Files)                                                                                                             |          1 |         23 |          0 |          7 |         30 |
| openhitls\bsl\buffer\include                                                                                                             |          1 |         21 |         14 |          8 |         43 |
| openhitls\bsl\buffer\src                                                                                                                 |          1 |         66 |         14 |          8 |         88 |
| openhitls\bsl\conf                                                                                                                       |          5 |        998 |        229 |         87 |      1,314 |
| openhitls\bsl\conf (Files)                                                                                                               |          1 |         23 |          0 |          7 |         30 |
| openhitls\bsl\conf\include                                                                                                               |          2 |         79 |        182 |         31 |        292 |
| openhitls\bsl\conf\src                                                                                                                   |          2 |        896 |         47 |         49 |        992 |
| openhitls\bsl\err                                                                                                                        |          5 |        742 |        226 |        157 |      1,125 |
| openhitls\bsl\err (Files)                                                                                                                |          1 |         25 |          0 |          7 |         32 |
| openhitls\bsl\err\include                                                                                                                |          1 |         22 |         36 |         16 |         74 |
| openhitls\bsl\err\src                                                                                                                    |          3 |        695 |        190 |        134 |      1,019 |
| openhitls\bsl\hash                                                                                                                       |          9 |      1,222 |        931 |        368 |      2,521 |
| openhitls\bsl\hash (Files)                                                                                                               |          1 |         25 |          0 |          7 |         32 |
| openhitls\bsl\hash\include                                                                                                               |          3 |        152 |        823 |        101 |      1,076 |
| openhitls\bsl\hash\src                                                                                                                   |          5 |      1,045 |        108 |        260 |      1,413 |
| openhitls\bsl\include                                                                                                                    |          4 |        209 |        232 |         53 |        494 |
| openhitls\bsl\init                                                                                                                       |          2 |         46 |         14 |         13 |         73 |
| openhitls\bsl\list                                                                                                                       |          5 |        742 |        152 |        206 |      1,100 |
| openhitls\bsl\list (Files)                                                                                                               |          1 |         25 |          0 |          7 |         32 |
| openhitls\bsl\list\include                                                                                                               |          1 |         19 |         58 |         14 |         91 |
| openhitls\bsl\list\src                                                                                                                   |          3 |        698 |         94 |        185 |        977 |
| openhitls\bsl\log                                                                                                                        |          3 |        105 |         82 |         32 |        219 |
| openhitls\bsl\log (Files)                                                                                                                |          1 |         23 |          0 |          8 |         31 |
| openhitls\bsl\log\include                                                                                                                |          1 |         33 |         68 |         15 |        116 |
| openhitls\bsl\log\src                                                                                                                    |          1 |         49 |         14 |          9 |         72 |
| openhitls\bsl\obj                                                                                                                        |          4 |      1,075 |         88 |        144 |      1,307 |
| openhitls\bsl\obj (Files)                                                                                                                |          1 |         25 |          0 |          8 |         33 |
| openhitls\bsl\obj\include                                                                                                                |          1 |         42 |         14 |         21 |         77 |
| openhitls\bsl\obj\src                                                                                                                    |          2 |      1,008 |         74 |        115 |      1,197 |
| openhitls\bsl\params                                                                                                                     |          3 |        582 |         29 |         44 |        655 |
| openhitls\bsl\params (Files)                                                                                                             |          1 |         19 |          0 |          6 |         25 |
| openhitls\bsl\params\src                                                                                                                 |          2 |        563 |         29 |         38 |        630 |
| openhitls\bsl\pem                                                                                                                        |          4 |        337 |         61 |         51 |        449 |
| openhitls\bsl\pem (Files)                                                                                                                |          1 |         27 |          0 |          7 |         34 |
| openhitls\bsl\pem\include                                                                                                                |          1 |         45 |         17 |         19 |         81 |
| openhitls\bsl\pem\src                                                                                                                    |          2 |        265 |         44 |         25 |        334 |
| openhitls\bsl\print                                                                                                                      |          3 |        225 |         89 |         42 |        356 |
| openhitls\bsl\print (Files)                                                                                                              |          1 |         23 |          0 |          7 |         30 |
| openhitls\bsl\print\include                                                                                                              |          1 |         25 |         70 |         14 |        109 |
| openhitls\bsl\print\src                                                                                                                  |          1 |        177 |         19 |         21 |        217 |
| openhitls\bsl\sal                                                                                                                        |         28 |      2,966 |        663 |        540 |      4,169 |
| openhitls\bsl\sal (Files)                                                                                                                |          1 |         79 |          0 |         16 |         95 |
| openhitls\bsl\sal\include                                                                                                                |          5 |        204 |        133 |         77 |        414 |
| openhitls\bsl\sal\src                                                                                                                    |         22 |      2,683 |        530 |        447 |      3,660 |
| openhitls\bsl\sal\src (Files)                                                                                                            |         16 |      1,964 |        424 |        333 |      2,721 |
| openhitls\bsl\sal\src\posix                                                                                                              |          6 |        719 |        106 |        114 |        939 |
| openhitls\bsl\tlv                                                                                                                        |          3 |        153 |         85 |         29 |        267 |
| openhitls\bsl\tlv (Files)                                                                                                                |          1 |         23 |          0 |          7 |         30 |
| openhitls\bsl\tlv\include                                                                                                                |          1 |         23 |         57 |         11 |         91 |
| openhitls\bsl\tlv\src                                                                                                                    |          1 |        107 |         28 |         11 |        146 |
| openhitls\bsl\ui                                                                                                                         |          4 |        614 |         44 |         63 |        721 |
| openhitls\bsl\ui (Files)                                                                                                                 |          1 |         23 |          0 |          7 |         30 |
| openhitls\bsl\ui\include                                                                                                                 |          1 |         37 |         14 |         13 |         64 |
| openhitls\bsl\ui\src                                                                                                                     |          2 |        554 |         30 |         43 |        627 |
| openhitls\bsl\uio                                                                                                                        |         10 |      2,388 |        194 |        288 |      2,870 |
| openhitls\bsl\uio (Files)                                                                                                                |          1 |         58 |          0 |         15 |         73 |
| openhitls\bsl\uio\include                                                                                                                |          1 |         25 |         21 |         12 |         58 |
| openhitls\bsl\uio\src                                                                                                                    |          8 |      2,305 |        173 |        261 |      2,739 |
| openhitls\bsl\version                                                                                                                    |          2 |         29 |         14 |         10 |         53 |
| openhitls\bsl\version (Files)                                                                                                            |          1 |         18 |          0 |          5 |         23 |
| openhitls\bsl\version\src                                                                                                                |          1 |         11 |         14 |          5 |         30 |
| openhitls\cmake                                                                                                                          |         23 |      4,006 |          0 |        353 |      4,359 |
| openhitls\cmake (Files)                                                                                                                  |         10 |      3,415 |          0 |        224 |      3,639 |
| openhitls\cmake\helpers                                                                                                                  |          3 |        260 |          0 |         47 |        307 |
| openhitls\cmake\presets                                                                                                                  |          2 |        156 |          0 |         31 |        187 |
| openhitls\cmake\toolchain                                                                                                                |          8 |        175 |          0 |         51 |        226 |
| openhitls\codecs                                                                                                                         |          4 |        723 |         75 |         83 |        881 |
| openhitls\codecs (Files)                                                                                                                 |          1 |         26 |          0 |          8 |         34 |
| openhitls\codecs\include                                                                                                                 |          1 |         72 |         18 |         14 |        104 |
| openhitls\codecs\src                                                                                                                     |          2 |        625 |         57 |         61 |        743 |
| openhitls\config                                                                                                                         |          1 |          6 |         14 |          4 |         24 |
| openhitls\config\macro_config                                                                                                            |          1 |          6 |         14 |          4 |         24 |
| openhitls\crypto                                                                                                                         |        637 |    184,359 |     23,900 |     21,993 |    230,252 |
| openhitls\crypto (Files)                                                                                                                 |          1 |        239 |          0 |         70 |        309 |
| openhitls\crypto\aes                                                                                                                     |         22 |      8,378 |        284 |      1,039 |      9,701 |
| openhitls\crypto\aes (Files)                                                                                                             |          1 |         64 |          0 |          9 |         73 |
| openhitls\crypto\aes\include                                                                                                             |          1 |         51 |        171 |         28 |        250 |
| openhitls\crypto\aes\src                                                                                                                 |         20 |      8,263 |        113 |      1,002 |      9,378 |
| openhitls\crypto\aes\src (Files)                                                                                                         |          7 |      1,198 |        113 |        114 |      1,425 |
| openhitls\crypto\aes\src\asm                                                                                                             |         13 |      7,065 |          0 |        888 |      7,953 |
| openhitls\crypto\bn                                                                                                                      |         33 |     10,597 |      2,252 |      1,544 |     14,393 |
| openhitls\crypto\bn (Files)                                                                                                              |          1 |         71 |          0 |          8 |         79 |
| openhitls\crypto\bn\include                                                                                                              |          1 |        207 |      1,206 |        121 |      1,534 |
| openhitls\crypto\bn\src                                                                                                                  |         31 |     10,319 |      1,046 |      1,415 |     12,780 |
| openhitls\crypto\bn\src (Files)                                                                                                          |         28 |      6,860 |      1,046 |        691 |      8,597 |
| openhitls\crypto\bn\src\asm                                                                                                              |          3 |      3,459 |          0 |        724 |      4,183 |
| openhitls\crypto\chacha20                                                                                                                |         13 |      2,945 |        101 |        442 |      3,488 |
| openhitls\crypto\chacha20 (Files)                                                                                                        |          1 |         36 |          0 |          8 |         44 |
| openhitls\crypto\chacha20\include                                                                                                        |          1 |         32 |         14 |         14 |         60 |
| openhitls\crypto\chacha20\src                                                                                                            |         11 |      2,877 |         87 |        420 |      3,384 |
| openhitls\crypto\chacha20\src (Files)                                                                                                    |          3 |        214 |         87 |         26 |        327 |
| openhitls\crypto\chacha20\src\asm                                                                                                        |          8 |      2,663 |          0 |        394 |      3,057 |
| openhitls\crypto\cmac                                                                                                                    |          7 |        605 |        247 |        115 |        967 |
| openhitls\crypto\cmac (Files)                                                                                                            |          1 |         32 |          0 |          7 |         39 |
| openhitls\crypto\cmac\include                                                                                                            |          2 |         55 |        188 |         36 |        279 |
| openhitls\crypto\cmac\src                                                                                                                |          4 |        518 |         59 |         72 |        649 |
| openhitls\crypto\codecsdata                                                                                                              |          3 |        359 |        113 |         74 |        546 |
| openhitls\crypto\codecsdata (Files)                                                                                                      |          1 |         27 |          0 |          7 |         34 |
| openhitls\crypto\codecsdata\include                                                                                                      |          1 |         34 |         66 |         14 |        114 |
| openhitls\crypto\codecsdata\src                                                                                                          |          1 |        298 |         47 |         53 |        398 |
| openhitls\crypto\codecskey                                                                                                               |         17 |      7,284 |        436 |        605 |      8,325 |
| openhitls\crypto\codecskey (Files)                                                                                                       |          1 |         60 |          0 |          7 |         67 |
| openhitls\crypto\codecskey\include                                                                                                       |          2 |        177 |         30 |         52 |        259 |
| openhitls\crypto\codecskey\src                                                                                                           |         14 |      7,047 |        406 |        546 |      7,999 |
| openhitls\crypto\composite                                                                                                               |          5 |      1,294 |         56 |        113 |      1,463 |
| openhitls\crypto\composite (Files)                                                                                                       |          1 |         31 |          0 |          7 |         38 |
| openhitls\crypto\composite\include                                                                                                       |          1 |         37 |         14 |         20 |         71 |
| openhitls\crypto\composite\src                                                                                                           |          3 |      1,226 |         42 |         86 |      1,354 |
| openhitls\crypto\curve25519                                                                                                              |         12 |      8,336 |        899 |      1,015 |     10,250 |
| openhitls\crypto\curve25519 (Files)                                                                                                      |          1 |         50 |          0 |          8 |         58 |
| openhitls\crypto\curve25519\include                                                                                                      |          1 |         69 |        314 |         40 |        423 |
| openhitls\crypto\curve25519\src                                                                                                          |         10 |      8,217 |        585 |        967 |      9,769 |
| openhitls\crypto\curve25519\src (Files)                                                                                                  |          7 |      4,381 |        585 |        598 |      5,564 |
| openhitls\crypto\curve25519\src\asm                                                                                                      |          3 |      3,836 |          0 |        369 |      4,205 |
| openhitls\crypto\dh                                                                                                                      |          5 |      1,897 |        436 |        153 |      2,486 |
| openhitls\crypto\dh (Files)                                                                                                              |          1 |         27 |          0 |          7 |         34 |
| openhitls\crypto\dh\include                                                                                                              |          1 |         58 |        331 |         39 |        428 |
| openhitls\crypto\dh\src                                                                                                                  |          3 |      1,812 |        105 |        107 |      2,024 |
| openhitls\crypto\drbg                                                                                                                    |          7 |      1,882 |        428 |        351 |      2,661 |
| openhitls\crypto\drbg (Files)                                                                                                            |          1 |         35 |          0 |          7 |         42 |
| openhitls\crypto\drbg\include                                                                                                            |          1 |         93 |        150 |         35 |        278 |
| openhitls\crypto\drbg\src                                                                                                                |          5 |      1,754 |        278 |        309 |      2,341 |
| openhitls\crypto\dsa                                                                                                                     |          4 |      1,685 |        467 |        145 |      2,297 |
| openhitls\crypto\dsa (Files)                                                                                                             |          1 |         28 |          0 |          7 |         35 |
| openhitls\crypto\dsa\include                                                                                                             |          1 |         72 |        374 |         45 |        491 |
| openhitls\crypto\dsa\src                                                                                                                 |          2 |      1,585 |         93 |         93 |      1,771 |
| openhitls\crypto\eal                                                                                                                     |         33 |      7,784 |        823 |        775 |      9,382 |
| openhitls\crypto\eal (Files)                                                                                                             |          1 |        121 |          0 |          7 |        128 |
| openhitls\crypto\eal\include                                                                                                             |          1 |         31 |         32 |         11 |         74 |
| openhitls\crypto\eal\src                                                                                                                 |         31 |      7,632 |        791 |        757 |      9,180 |
| openhitls\crypto\ealinit                                                                                                                 |          6 |        922 |        158 |        152 |      1,232 |
| openhitls\crypto\ealinit (Files)                                                                                                         |          1 |         46 |          0 |          8 |         54 |
| openhitls\crypto\ealinit\include                                                                                                         |          1 |         19 |         54 |          9 |         82 |
| openhitls\crypto\ealinit\src                                                                                                             |          4 |        857 |        104 |        135 |      1,096 |
| openhitls\crypto\ecc                                                                                                                     |         33 |     36,673 |      3,334 |      2,682 |     42,689 |
| openhitls\crypto\ecc (Files)                                                                                                             |          1 |         69 |          0 |          8 |         77 |
| openhitls\crypto\ecc\include                                                                                                             |          2 |        122 |        611 |         78 |        811 |
| openhitls\crypto\ecc\src                                                                                                                 |         30 |     36,482 |      2,723 |      2,596 |     41,801 |
| openhitls\crypto\ecc\src (Files)                                                                                                         |         24 |     24,597 |      2,723 |      1,180 |     28,500 |
| openhitls\crypto\ecc\src\asm                                                                                                             |          6 |     11,885 |          0 |      1,416 |     13,301 |
| openhitls\crypto\ecdh                                                                                                                    |          3 |        263 |        321 |         72 |        656 |
| openhitls\crypto\ecdh (Files)                                                                                                            |          1 |         28 |          0 |          7 |         35 |
| openhitls\crypto\ecdh\include                                                                                                            |          1 |         52 |        303 |         39 |        394 |
| openhitls\crypto\ecdh\src                                                                                                                |          1 |        183 |         18 |         26 |        227 |
| openhitls\crypto\ecdsa                                                                                                                   |          3 |        626 |        424 |        115 |      1,165 |
| openhitls\crypto\ecdsa (Files)                                                                                                           |          1 |         29 |          0 |          7 |         36 |
| openhitls\crypto\ecdsa\include                                                                                                           |          1 |         64 |        386 |         45 |        495 |
| openhitls\crypto\ecdsa\src                                                                                                               |          1 |        533 |         38 |         63 |        634 |
| openhitls\crypto\elgamal                                                                                                                 |          7 |      1,272 |        408 |        212 |      1,892 |
| openhitls\crypto\elgamal (Files)                                                                                                         |          1 |         26 |          0 |          7 |         33 |
| openhitls\crypto\elgamal\include                                                                                                         |          1 |         56 |        328 |         35 |        419 |
| openhitls\crypto\elgamal\src                                                                                                             |          5 |      1,190 |         80 |        170 |      1,440 |
| openhitls\crypto\entropy                                                                                                                 |         19 |      1,913 |        463 |        274 |      2,650 |
| openhitls\crypto\entropy (Files)                                                                                                         |          1 |         32 |          0 |          8 |         40 |
| openhitls\crypto\entropy\include                                                                                                         |          1 |         47 |         70 |         30 |        147 |
| openhitls\crypto\entropy\src                                                                                                             |         17 |      1,834 |        393 |        236 |      2,463 |
| openhitls\crypto\frodokem                                                                                                                |         11 |      1,967 |        168 |        268 |      2,403 |
| openhitls\crypto\frodokem (Files)                                                                                                        |          1 |         43 |          0 |          9 |         52 |
| openhitls\crypto\frodokem\include                                                                                                        |          1 |         29 |         15 |          9 |         53 |
| openhitls\crypto\frodokem\src                                                                                                            |          9 |      1,895 |        153 |        250 |      2,298 |
| openhitls\crypto\frodokem\src (Files)                                                                                                    |          7 |      1,563 |        153 |        169 |      1,885 |
| openhitls\crypto\frodokem\src\asm                                                                                                        |          2 |        332 |          0 |         81 |        413 |
